"part_id","hh_id","part_age","part_gender"
1258902,"HH1258902","[70,120)","M"
1258903,"HH1258903","[70,120)","M"
1258904,"HH1258904","[70,120)","M"
1258905,"HH1258905","[70,120)","M"
1258906,"HH1258906","[70,120)","M"
1258908,"HH1258908","[70,120)","M"
1259001,"HH1259001","[18,30)","F"
1259101,"HH1259101","[50,60)","F"
1259102,"HH1259102","[50,60)","F"
1259103,"HH1259103","[50,60)","F"
1259104,"HH1259104","[50,60)","F"
1259105,"HH1259105","[50,60)","F"
1259106,"HH1259106","[50,60)","F"
1259107,"HH1259107","[50,60)","F"
1259108,"HH1259108","[50,60)","F"
1259201,"HH1259201","[60,70)","M"
1259202,"HH1259202","[60,70)","M"
1259203,"HH1259203","[60,70)","M"
1259204,"HH1259204","[60,70)","M"
1259205,"HH1259205","[60,70)","M"
1259206,"HH1259206","[60,70)","M"
1259207,"HH1259207","[60,70)","M"
1259208,"HH1259208","[60,70)","M"
1259301,"HH1259301","[30,40)","M"
1259302,"HH1259302","[30,40)","M"
1259303,"HH1259303","[30,40)","M"
1259308,"HH1259308","[30,40)","M"
1259401,"HH1259401","[60,70)","M"
1259501,"HH1259501","[70,120)","F"
1259502,"HH1259502","[70,120)","F"
1259503,"HH1259503","[70,120)","F"
1259505,"HH1259505","[70,120)","F"
1259506,"HH1259506","[70,120)","F"
1259507,"HH1259507","[70,120)","F"
1259508,"HH1259508","[70,120)",NA
1259601,"HH1259601","[50,60)","F"
1259602,"HH1259602","[50,60)","F"
1259603,"HH1259603","[50,60)","F"
1259604,"HH1259604","[50,60)","F"
1259605,"HH1259605","[50,60)","F"
1259606,"HH1259606","[50,60)","F"
1259607,"HH1259607","[50,60)","F"
1259608,"HH1259608","[50,60)","F"
1259701,"HH1259701","[40,50)","F"
1259702,"HH1259702","[40,50)","F"
1259703,"HH1259703","[40,50)","F"
1259704,"HH1259704","[40,50)","F"
1259706,"HH1259706","[40,50)","F"
1259707,"HH1259707","[40,50)","F"
1259708,"HH1259708","[40,50)","F"
1259801,"HH1259801","[50,60)","F"
1259802,"HH1259802","[50,60)","F"
1259803,"HH1259803","[50,60)","F"
1259804,"HH1259804","[50,60)","F"
1259805,"HH1259805","[50,60)","F"
