"part_id","hh_id","part_age","part_gender"
2095112,"HH2095112",24,"F"
2095212,"HH2095212",34,"M"
2095712,"HH2095712",39,"M"
2095812,"HH2095812",46,"F"
2096112,"HH2096112",51,"F"
2096212,"HH2096212",54,"F"
2096412,"HH2096412",54,"M"
2096712,"HH2096712",52,"M"
2096812,"HH2096812",8,NA
2096912,"HH2096912",26,"M"
2097012,"HH2097012",41,"M"
2097112,"HH2097112",33,"F"
2097212,"HH2097212",53,"F"
2097412,"HH2097412",48,"F"
2097812,"HH2097812",27,"F"
2098412,"HH2098412",54,"M"
2098812,"HH2098812",20,"M"
2099012,"HH2099012",51,"F"
2099212,"HH2099212",25,"M"
2099412,"HH2099412",40,"M"
2099712,"HH2099712",49,"M"
2099812,"HH2099812",49,"M"
2099912,"HH2099912",20,"M"
2100112,"HH2100112",51,"F"
2100212,"HH2100212",37,"F"
2100312,"HH2100312",53,"M"
2100512,"HH2100512",57,"M"
2100612,"HH2100612",16,NA
2100712,"HH2100712",8,NA
2100812,"HH2100812",13,NA
2100912,"HH2100912",48,"F"
2101112,"HH2101112",48,"M"
2101212,"HH2101212",20,"F"
2101312,"HH2101312",48,"M"
2101412,"HH2101412",48,"F"
2101712,"HH2101712",54,"M"
2101812,"HH2101812",50,"M"
2101912,"HH2101912",40,"F"
2102012,"HH2102012",41,"F"
2102412,"HH2102412",38,"M"
2102612,"HH2102612",43,"M"
2102812,"HH2102812",46,"F"
2102912,"HH2102912",48,"M"
2103312,"HH2103312",53,"F"
2103812,"HH2103812",53,"F"
2103912,"HH2103912",28,"F"
2104012,"HH2104012",36,"F"
2104412,"HH2104412",46,"M"
2104612,"HH2104612",18,"M"
2104912,"HH2104912",52,"M"
2105712,"HH2105712",16,NA
2105812,"HH2105812",54,"F"
2105912,"HH2105912",36,"F"
2106112,"HH2106112",44,"F"
2106312,"HH2106312",24,"F"
2106412,"HH2106412",46,"F"
2106512,"HH2106512",49,"M"
2106612,"HH2106612",40,"F"
2106712,"HH2106712",8,NA
2107012,"HH2107012",22,"M"
2107212,"HH2107212",21,"M"
2107312,"HH2107312",51,"M"
2107412,"HH2107412",20,"M"
2107612,"HH2107612",42,"F"
2107712,"HH2107712",49,"M"
2107812,"HH2107812",2,NA
2107912,"HH2107912",49,"F"
2108112,"HH2108112",49,"F"
2108212,"HH2108212",52,"F"
2108312,"HH2108312",45,"M"
2108412,"HH2108412",33,"M"
2109012,"HH2109012",44,"F"
2109112,"HH2109112",46,"F"
2109312,"HH2109312",13,NA
2109412,"HH2109412",51,"F"
2109612,"HH2109612",54,"M"
2109712,"HH2109712",27,"M"
2109912,"HH2109912",48,"M"
2110012,"HH2110012",49,"M"
2110112,"HH2110112",51,"M"
2110212,"HH2110212",42,"M"
2110312,"HH2110312",30,"M"
2110412,"HH2110412",53,"F"
2110512,"HH2110512",53,"M"
2110612,"HH2110612",53,"F"
2110812,"HH2110812",52,"F"
2111012,"HH2111012",47,"F"
2111112,"HH2111112",41,"M"
2111212,"HH2111212",34,"M"
2111412,"HH2111412",49,"F"
2111612,"HH2111612",49,"M"
2111712,"HH2111712",2,NA
2111812,"HH2111812",54,"M"
2111912,"HH2111912",27,"F"
2112012,"HH2112012",25,"F"
2112112,"HH2112112",47,"M"
2112212,"HH2112212",19,"F"
2112412,"HH2112412",53,"M"
2112612,"HH2112612",45,"M"
2112912,"HH2112912",47,"M"
2113212,"HH2113212",45,"F"
2113412,"HH2113412",21,"F"
2113512,"HH2113512",41,"M"
2113612,"HH2113612",47,"F"
2113712,"HH2113712",49,"F"
2114012,"HH2114012",30,"M"
2114112,"HH2114112",54,"F"
2114212,"HH2114212",22,"F"
2115112,"HH2115112",44,"F"
2115312,"HH2115312",16,NA
2115412,"HH2115412",18,"F"
2115612,"HH2115612",22,"F"
2115712,"HH2115712",42,"M"
2115912,"HH2115912",8,NA
