part_id,sday_id,day,month,year,dayofweek,wave,holiday
2164423,2021.05.30,30,5,2021,0,23,0
2164723,2021.05.28,28,5,2021,5,23,0
2164923,2021.05.26,26,5,2021,3,23,0
2165323,2021.05.26,26,5,2021,3,23,0
2165423,2021.05.30,30,5,2021,0,23,0
2165823,2021.05.29,29,5,2021,6,23,0
2165923,2021.05.26,26,5,2021,3,23,0
2166323,2021.05.27,27,5,2021,4,23,0
2166823,2021.05.27,27,5,2021,4,23,0
2167023,2021.05.30,30,5,2021,0,23,0
2167423,2021.05.30,30,5,2021,0,23,0
2167823,2021.05.26,26,5,2021,3,23,0
2167923,2021.05.30,30,5,2021,0,23,0
2168223,2021.05.30,30,5,2021,0,23,0
2168623,2021.05.27,27,5,2021,4,23,0
2169623,2021.05.27,27,5,2021,4,23,0
2169823,2021.05.26,26,5,2021,3,23,0
2170123,2021.05.26,26,5,2021,3,23,0
2170223,2021.05.30,30,5,2021,0,23,0
2170323,2021.05.30,30,5,2021,0,23,0
2170423,2021.05.30,30,5,2021,0,23,0
2170823,2021.05.25,25,5,2021,2,23,0
2171023,2021.05.26,26,5,2021,3,23,0
2171223,2021.05.26,26,5,2021,3,23,0
2171423,2021.05.27,27,5,2021,4,23,0
2171523,2021.05.29,29,5,2021,6,23,0
2171623,2021.05.27,27,5,2021,4,23,0
2172223,2021.05.26,26,5,2021,3,23,0
2172323,2021.05.26,26,5,2021,3,23,0
2172723,2021.05.26,26,5,2021,3,23,0
2173023,2021.05.30,30,5,2021,0,23,0
2173723,2021.05.27,27,5,2021,4,23,0
2174123,2021.05.26,26,5,2021,3,23,0
2174323,2021.05.26,26,5,2021,3,23,0
2174423,2021.05.26,26,5,2021,3,23,0
2174523,2021.05.27,27,5,2021,4,23,0
2174623,2021.05.26,26,5,2021,3,23,0
2174823,2021.05.28,28,5,2021,5,23,0
2175023,2021.05.26,26,5,2021,3,23,0
2175123,2021.05.30,30,5,2021,0,23,0
2175423,2021.05.26,26,5,2021,3,23,0
2175523,2021.05.26,26,5,2021,3,23,0
2176123,2021.05.29,29,5,2021,6,23,0
2176323,2021.05.26,26,5,2021,3,23,0
2176423,2021.05.27,27,5,2021,4,23,0
2176623,2021.05.30,30,5,2021,0,23,0
2176923,2021.05.29,29,5,2021,6,23,0
2177323,2021.05.27,27,5,2021,4,23,0
2177423,2021.05.25,25,5,2021,2,23,0
2177923,2021.05.27,27,5,2021,4,23,0
2178023,2021.05.29,29,5,2021,6,23,0
2178123,2021.05.27,27,5,2021,4,23,0
2178223,2021.05.27,27,5,2021,4,23,0
2178423,2021.05.26,26,5,2021,3,23,0
2179223,2021.05.26,26,5,2021,3,23,0
2179623,2021.05.27,27,5,2021,4,23,0
2179723,2021.05.27,27,5,2021,4,23,0
2180023,2021.05.26,26,5,2021,3,23,0
2180223,2021.05.25,25,5,2021,2,23,0
2180423,2021.05.29,29,5,2021,6,23,0
2180623,2021.05.26,26,5,2021,3,23,0
2181523,2021.05.28,28,5,2021,5,23,0
2181623,2021.05.28,28,5,2021,5,23,0
2182023,2021.05.30,30,5,2021,0,23,0
2182123,2021.05.26,26,5,2021,3,23,0
2182323,2021.05.26,26,5,2021,3,23,0
2182523,2021.05.26,26,5,2021,3,23,0
2182723,2021.05.25,25,5,2021,2,23,0
2183023,2021.05.26,26,5,2021,3,23,0
2183723,2021.05.26,26,5,2021,3,23,0
2184223,2021.05.27,27,5,2021,4,23,0
2184323,2021.05.25,25,5,2021,2,23,0
2185523,2021.05.26,26,5,2021,3,23,0
2185823,2021.05.27,27,5,2021,4,23,0
2185923,2021.05.31,31,5,2021,1,23,0
2186023,2021.05.30,30,5,2021,0,23,0
2186123,2021.05.30,30,5,2021,0,23,0
2187123,2021.05.29,29,5,2021,6,23,0
2188323,2021.05.26,26,5,2021,3,23,0
2188523,2021.05.30,30,5,2021,0,23,0
2188923,2021.05.26,26,5,2021,3,23,0
2189023,2021.05.26,26,5,2021,3,23,0
2189223,2021.05.28,28,5,2021,5,23,0
2189323,2021.05.26,26,5,2021,3,23,0
2189423,2021.05.27,27,5,2021,4,23,0
2189623,2021.05.26,26,5,2021,3,23,0
2189823,2021.05.26,26,5,2021,3,23,0
2189923,2021.05.27,27,5,2021,4,23,0
2190123,2021.05.30,30,5,2021,0,23,0
2190223,2021.05.30,30,5,2021,0,23,0
2190423,2021.05.30,30,5,2021,0,23,0
2190523,2021.05.26,26,5,2021,3,23,0
2190823,2021.05.30,30,5,2021,0,23,0
2191023,2021.05.29,29,5,2021,6,23,0
2191223,2021.05.30,30,5,2021,0,23,0
2191323,2021.05.30,30,5,2021,0,23,0
2191423,2021.05.30,30,5,2021,0,23,0
2191623,2021.05.28,28,5,2021,5,23,0
2191723,2021.05.27,27,5,2021,4,23,0
2191823,2021.05.31,31,5,2021,1,23,0
2191923,2021.05.28,28,5,2021,5,23,0
2192323,2021.05.27,27,5,2021,4,23,0
2192423,2021.05.26,26,5,2021,3,23,0
2192523,2021.05.27,27,5,2021,4,23,0
2192723,2021.05.27,27,5,2021,4,23,0
2192823,2021.05.26,26,5,2021,3,23,0
2192923,2021.05.30,30,5,2021,0,23,0
2193023,2021.05.30,30,5,2021,0,23,0
2193223,2021.05.30,30,5,2021,0,23,0
2193323,2021.05.26,26,5,2021,3,23,0
2193423,2021.05.30,30,5,2021,0,23,0
2193523,2021.05.30,30,5,2021,0,23,0
2193723,2021.05.28,28,5,2021,5,23,0
2193823,2021.05.30,30,5,2021,0,23,0
2193923,2021.05.30,30,5,2021,0,23,0
2194123,2021.05.30,30,5,2021,0,23,0
2194223,2021.05.26,26,5,2021,3,23,0
2194323,2021.05.26,26,5,2021,3,23,0
2194823,2021.05.26,26,5,2021,3,23,0
2194923,2021.05.28,28,5,2021,5,23,0
2195123,2021.05.30,30,5,2021,0,23,0
2195223,2021.05.26,26,5,2021,3,23,0
2195523,2021.05.26,26,5,2021,3,23,0
2195623,2021.05.30,30,5,2021,0,23,0
2195723,2021.05.27,27,5,2021,4,23,0
2195923,2021.05.30,30,5,2021,0,23,0
2196023,2021.05.28,28,5,2021,5,23,0
2196323,2021.05.26,26,5,2021,3,23,0
2196623,2021.05.30,30,5,2021,0,23,0
2196723,2021.05.30,30,5,2021,0,23,0
2196823,2021.05.27,27,5,2021,4,23,0
2197023,2021.05.30,30,5,2021,0,23,0
2197523,2021.05.26,26,5,2021,3,23,0
2197723,2021.05.26,26,5,2021,3,23,0
2197923,2021.05.27,27,5,2021,4,23,0
2198023,2021.05.26,26,5,2021,3,23,0
2198123,2021.05.26,26,5,2021,3,23,0
2198223,2021.05.31,31,5,2021,1,23,0
2198423,2021.05.30,30,5,2021,0,23,0
2198623,2021.05.30,30,5,2021,0,23,0
2198823,2021.05.30,30,5,2021,0,23,0
2198923,2021.05.29,29,5,2021,6,23,0
2199123,2021.05.26,26,5,2021,3,23,0
2199223,2021.05.26,26,5,2021,3,23,0
2199323,2021.05.26,26,5,2021,3,23,0
2199423,2021.05.26,26,5,2021,3,23,0
2199823,2021.05.28,28,5,2021,5,23,0
2199923,2021.05.28,28,5,2021,5,23,0
2200023,2021.05.30,30,5,2021,0,23,0
2200123,2021.05.30,30,5,2021,0,23,0
2200523,2021.05.29,29,5,2021,6,23,0
2200623,2021.05.28,28,5,2021,5,23,0
2200723,2021.05.26,26,5,2021,3,23,0
2200823,2021.05.30,30,5,2021,0,23,0
2200923,2021.05.30,30,5,2021,0,23,0
2201223,2021.05.30,30,5,2021,0,23,0
2201423,2021.05.27,27,5,2021,4,23,0
2201623,2021.05.26,26,5,2021,3,23,0
2201823,2021.05.27,27,5,2021,4,23,0
2202023,2021.05.27,27,5,2021,4,23,0
2202223,2021.05.27,27,5,2021,4,23,0
2202323,2021.05.27,27,5,2021,4,23,0
2202723,2021.05.27,27,5,2021,4,23,0
2202923,2021.05.28,28,5,2021,5,23,0
2203123,2021.05.27,27,5,2021,4,23,0
2203523,2021.05.28,28,5,2021,5,23,0
2203723,2021.05.26,26,5,2021,3,23,0
2204023,2021.05.30,30,5,2021,0,23,0
2204523,2021.05.28,28,5,2021,5,23,0
2204823,2021.05.30,30,5,2021,0,23,0
2205023,2021.05.30,30,5,2021,0,23,0
2205323,2021.05.27,27,5,2021,4,23,0
2205723,2021.05.30,30,5,2021,0,23,0
